unicode,polarity
U0001f602,1
U0001f600,1
U0001f60a,1
U0001f60b,1
U0001f601,1
U0001f923,1
U0001f603,1
U0001f604,1
U0001f605,1
U0001f606,1
U0001f609,1
U0001f618,1
U0001f970,1
U0001f60d,1
U0001f60e,1
U0001f617,1
U0001f619,1
U0001f61a,1
U0001f642,1
U263a,1
U0001f917,1
U0001f929,1
U0001f914,0
U0001f928,0
U0001f610,0
U0001f611,0
U0001f636,0
U0001f644,0
U0001f60f,0
U0001f623,0
U0001f625,0
U0001f62e,0
U0001f910,0
U0001f62f,0
U0001f62a,0
U0001f62b,0
U0001f634,0
U0001f60c,0
U0001f61b,0
U0001f61c,0
U0001f61d,0
U0001f924,0
U0001f612,0
U0001f613,0
U0001f614,0
U0001f615,0
U0001f643,0
U0001f911,0
U0001f632,0
U0001f92c,-1
U0001f620,-1
U0001f621,-1
U0001f635,-1
U0001f91a,-1
U0001f633,-1
U0001f976,-1
U0001f975,-1
U0001f630,-1
U0001f631,-1
U0001f62c,-1
U0001f92f,-1
U0001f629,-1
U0001f628,-1
U0001f627,-1
U0001f626,-1
U0001f62d,-1
U0001f622,-1
U0001f624,-1
U0001f61f,-1
U0001f61e,-1
U0001f616,-1
U0001f641,-1
U2639,-1
U0001f595,-1
U270c,1
U0001f918,1
U0001f919,0
U0001f44c,1
U0001f44d,1
U0001f44e,-1
U270a,0
U0001f64f,-1
U0001f64c,1
U2764,1
